customerName,recency,frequency,monetary,totalSalesAmount,totalProfit,cluster,segment
KIBOS SUGAR AND ALLIED INDUSTRIES LIMITED,26,12,2038103.44,2038103.44,381627.08999999997,5,Promising
GENERATION TYRES,11,68,2029439.63,2029439.63,534855.21,3,Loyal Customers
TIRE WORLD LTD,126,19,2008336.19,2008336.19,449286.04000000004,0,Potential Loyalists
AUTO LION TYRES,40,78,2006896.43,2006896.43,600006.98,3,Loyal Customers
AMERICAN EMBASSY NAIROBI,139,9,1975172.0,1975172.0,282866.94000000006,0,Potential Loyalists
TOP CHOICE AUTO SOLUTION,5,169,1961551.59,1961551.59,348333.38,3,Loyal Customers
WORLD VISION KENYA,12,96,1951731.1099999999,1951731.1099999999,393395.09,3,Loyal Customers
YAPHARICK GENERAL SUPPLIES LIMITED,69,39,1939034.42,1939034.42,444814.52,0,Potential Loyalists
ALFMIN AUTOCARE LIMITED,14,151,1937853.28,1937853.28,559600.19,3,Loyal Customers
WILLIAMS & SONS INVESTMENT LTD,22,261,1919933.3,1919933.3,509313.24,3,Loyal Customers
IMA HAULIERS LIMITED,13,31,1915778.32,1915778.32,352557.82,3,Loyal Customers
RENTOKIL INITIAL (K) LTD,8,333,1902122.55,1902122.55,377953.64,3,Loyal Customers
DISS AUTO SPARES,14,60,1882198.2,1882198.2,320419.33,3,Loyal Customers
RAINTS INTERNATIONAL LIMITED,22,9,1856909.74,1856909.74,453892.38,5,Promising
SIMBA CORPORATION LIMITED.,78,4,1831631.03,1831631.03,547426.7999999999,0,Potential Loyalists
MJENGO LIMITED,19,79,1824560.33,1824560.33,565825.71,3,Loyal Customers
BECKY&ELSIE TYRES LIMITED,16,150,1802282.28,1802282.28,434394.72,3,Loyal Customers
PIT PRO LIMITED,40,191,1775191.74,1775191.74,592392.05,3,Loyal Customers
BELTPRO (K) LIMITED,226,5,1714312.5,1714312.5,158422.96000000002,0,Potential Loyalists
UNIVERSAL AUTO EXPERTS LTD,12,155,1701250.02,1701250.02,611349.05,3,Loyal Customers
PROTO ENERGY LIMITED,64,17,1674138.26,1674138.26,245949.24999999997,0,Potential Loyalists
MOTORWAYS CONSTRUCTIONS LTD,56,14,1666379.27,1666379.27,374646.46,0,Potential Loyalists
MTWAPA CREEK SERVICE STATION,9,166,1635832.45,1635832.45,488530.27,3,Loyal Customers
ROY HAULIERS LTD,95,12,1631034.42,1631034.42,3940.119999999988,0,Potential Loyalists
ZAKHEM CONSTRUCTION KENYA LTD,285,7,1623103.36,1623103.36,351742.16000000003,0,Potential Loyalists
